database_id,hpo_ids_list
OMIM:181350,"['HP:0003596', 'HP:0011463', 'HP:0011462', 'HP:0003623', 'HP:0003621', 'HP:0025708']"
OMIM:181400,"['HP:0003596', 'HP:0011462']"
OMIM:181450,"['HP:0003577', 'HP:0011462']"
OMIM:182250,"['HP:0003593', 'HP:0011463', 'HP:0011462', 'HP:0003621']"
OMIM:182290,['HP:0003623']
OMIM:182410,['HP:0003593']
OMIM:182600,['HP:0003621']
OMIM:182900,"['HP:0003621', 'HP:0003593', 'HP:0011463', 'HP:0003623']"
OMIM:182980,"['HP:0003596', 'HP:0025710']"
OMIM:183086,"['HP:0011462', 'HP:0003621']"
OMIM:183090,"['HP:0011462', 'HP:0003584']"
OMIM:184252,"['HP:0003593', 'HP:0011463', 'HP:0003621']"
OMIM:184450,['HP:0011463']
OMIM:184850,['HP:0003581']
OMIM:184900,['HP:0003577']
OMIM:185000,['HP:0003623']
OMIM:185900,['HP:0003577']
OMIM:186000,['HP:0003577']
OMIM:186570,['HP:0003577']
OMIM:187260,['HP:0011463']
OMIM:187300,['HP:0025709']
OMIM:187370,['HP:0011463']
OMIM:187600,['HP:0003577']
OMIM:187601,"['HP:0034199', 'HP:0034198']"
OMIM:187900,['HP:0003593']
OMIM:188050,['HP:0011463']
OMIM:188055,['HP:0003581']
OMIM:188570,['HP:0011463']
OMIM:188740,['HP:0003577']
OMIM:190351,['HP:0003577']
OMIM:190440,['HP:0003577']
OMIM:190605,['HP:0003577']
OMIM:190685,['HP:0003577']
OMIM:191480,['HP:0011463']
OMIM:191830,['HP:0003577']
OMIM:191900,"['HP:0003593', 'HP:0011463', 'HP:0003621']"
OMIM:192315,['HP:0003581']
OMIM:192500,['HP:0011463']
OMIM:192605,['HP:0003581']
OMIM:193003,['HP:0011463']
OMIM:193300,['HP:0011462']
OMIM:193510,['HP:0003577']
OMIM:193520,['HP:0003577']
OMIM:193670,['HP:0003593']
OMIM:193700,"['HP:0003593', 'HP:0003577']"
OMIM:194080,['HP:0034198']
OMIM:194200,"['HP:0003621', 'HP:0011463', 'HP:0011462']"
OMIM:194300,['HP:0003577']
OMIM:200110,"['HP:0003577', 'HP:0011461']"
OMIM:200150,"['HP:0003596', 'HP:0011462']"
OMIM:200600,['HP:0034198']
OMIM:200610,['HP:0034198']
OMIM:200700,['HP:0003577']
OMIM:201100,"['HP:0003593', 'HP:0011463']"
OMIM:201300,['HP:0003593']
OMIM:201400,['HP:0003593']
OMIM:201470,"['HP:0003593', 'HP:0011463', 'HP:0003623']"
OMIM:201475,"['HP:0003593', 'HP:0003623']"
OMIM:201810,['HP:0003577']
OMIM:202010,['HP:0003623']
OMIM:202150,['HP:0003623']
OMIM:202200,['HP:0003577']
OMIM:202400,"['HP:0003577', 'HP:0003593', 'HP:0011463']"
OMIM:202650,['HP:0011461']
OMIM:202700,['HP:0003593']
OMIM:203100,['HP:0003577']
OMIM:203400,['HP:0003623']
OMIM:203450,"['HP:0003593', 'HP:0011463', 'HP:0025710', 'HP:0003621']"
OMIM:203500,"['HP:0003593', 'HP:0003581']"
OMIM:203655,['HP:0003623']
OMIM:203700,"['HP:0003593', 'HP:0011463']"
OMIM:203740,['HP:0003593']
OMIM:203800,['HP:0003577']
OMIM:204000,['HP:0003593']
OMIM:204100,['HP:0003593']
OMIM:204200,['HP:0003621']
OMIM:204300,"['HP:0003596', 'HP:0003584', 'HP:0003581', 'HP:0011462']"
OMIM:204700,['HP:0003593']
OMIM:204870,['HP:0011463']
OMIM:205100,['HP:0011463']
OMIM:205950,['HP:0003593']
OMIM:206100,['HP:0003593']
OMIM:206500,['HP:0003577']
OMIM:206550,['HP:0011462']
OMIM:206700,"['HP:0003593', 'HP:0003577']"
OMIM:206900,['HP:0003577']
OMIM:206920,['HP:0003577']
OMIM:207800,"['HP:0011463', 'HP:0003623']"
OMIM:207900,['HP:0003623']
OMIM:208000,"['HP:0003577', 'HP:0003623']"
OMIM:208050,"['HP:0003593', 'HP:0011463', 'HP:0011462', 'HP:0003623', 'HP:0003577', 'HP:0003621']"
OMIM:208085,['HP:0003577']
OMIM:208100,['HP:0003577']
OMIM:208150,['HP:0003577']
OMIM:208400,['HP:0011463']
OMIM:208540,"['HP:0003577', 'HP:0003593']"
OMIM:208900,['HP:0011463']
OMIM:208920,"['HP:0011463', 'HP:0003621', 'HP:0003581']"
OMIM:209850,['HP:0011463']
OMIM:209880,"['HP:0003577', 'HP:0003593', 'HP:0003623']"
OMIM:209885,['HP:0003577']
OMIM:209900,"['HP:0011463', 'HP:0003577', 'HP:0003621']"
OMIM:210000,"['HP:0003593', 'HP:0011463']"
OMIM:210200,"['HP:0003593', 'HP:0003621', 'HP:0003581']"
OMIM:210210,"['HP:0003593', 'HP:0003621']"
OMIM:210250,['HP:0003581']
OMIM:210500,['HP:0003593']
OMIM:210710,"['HP:0003593', 'HP:0003577', 'HP:0030674']"
OMIM:210900,"['HP:0003577', 'HP:0003593']"
OMIM:211380,['HP:0003577']
OMIM:211530,"['HP:0003593', 'HP:0011463', 'HP:0003621']"
OMIM:211600,"['HP:0003621', 'HP:0003593']"
OMIM:211900,['HP:0003621']
OMIM:212050,"['HP:0003621', 'HP:0025708', 'HP:0011463']"
OMIM:212065,"['HP:0003593', 'HP:0011463', 'HP:0003623', 'HP:0003577']"
OMIM:212066,['HP:0003593']
OMIM:212093,['HP:0003577']
OMIM:212112,['HP:0011463']
OMIM:212140,['HP:0011463']
OMIM:212350,"['HP:0003593', 'HP:0003623']"
OMIM:212550,['HP:0003577']
OMIM:212780,['HP:0003577']
OMIM:212840,"['HP:0003621', 'HP:0025708', 'HP:0011463']"
OMIM:212890,['HP:0003584']
OMIM:213200,['HP:0003593']
OMIM:213600,"['HP:0011463', 'HP:0003581']"
OMIM:213700,['HP:0025710']
OMIM:213980,['HP:0003577']
OMIM:214100,"['HP:0003593', 'HP:0003623']"
OMIM:214150,['HP:0003577']
OMIM:214400,['HP:0003593']
OMIM:214450,['HP:0003593']
OMIM:214500,"['HP:0003593', 'HP:0011462', 'HP:0003623']"
OMIM:214700,"['HP:0003621', 'HP:0003593']"
OMIM:214800,"['HP:0011461', 'HP:0003577']"
OMIM:214950,['HP:0003623']
OMIM:215045,['HP:0030674']
OMIM:215140,"['HP:0011461', 'HP:0030674']"
OMIM:215150,['HP:0003577']
OMIM:215400,"['HP:0003621', 'HP:0003596', 'HP:0003584', 'HP:0011462']"
OMIM:215470,"['HP:0011463', 'HP:0003621']"
OMIM:215600,['HP:0003584']
OMIM:215700,"['HP:0003593', 'HP:0003623', 'HP:0003621']"
OMIM:216340,['HP:0003577']
OMIM:216360,"['HP:0003577', 'HP:0003593']"
OMIM:216400,"['HP:0003593', 'HP:0011461']"
OMIM:216550,['HP:0003623']
OMIM:216900,['HP:0011463']
OMIM:217080,['HP:0003593']
OMIM:217085,['HP:0003577']
OMIM:217090,"['HP:0003593', 'HP:0034197']"
OMIM:217300,['HP:0011463']
OMIM:217400,"['HP:0011462', 'HP:0410280']"
OMIM:217800,['HP:0003621']
OMIM:218000,['HP:0003623']
OMIM:218030,['HP:0011463']
OMIM:218330,['HP:0003577']
OMIM:218340,"['HP:0003593', 'HP:0003623']"
OMIM:218600,"['HP:0034197', 'HP:0034198', 'HP:0003577']"
OMIM:218700,"['HP:0003577', 'HP:0003623', 'HP:0003621']"
OMIM:218800,['HP:0003577']
OMIM:219080,['HP:0003581']
OMIM:219100,['HP:0003577']
OMIM:219150,['HP:0003593']
OMIM:219700,"['HP:0003593', 'HP:0011463']"
OMIM:219730,['HP:0011461']
OMIM:219750,"['HP:0003621', 'HP:0011462']"
OMIM:219800,['HP:0003593']
OMIM:219900,['HP:0003621']
OMIM:220110,['HP:0003593']
OMIM:220111,"['HP:0003593', 'HP:0003623', 'HP:0003577']"
OMIM:220120,"['HP:0003593', 'HP:0003623']"
OMIM:220150,"['HP:0025709', 'HP:0025710']"
OMIM:220400,['HP:0003577']
OMIM:220500,['HP:0003577']
OMIM:220600,['HP:0003577']
OMIM:221200,"['HP:0003577', 'HP:0003593']"
OMIM:221745,['HP:0003621']
OMIM:221770,['HP:0011462']
OMIM:221820,"['HP:0003596', 'HP:0025710', 'HP:0003581']"
OMIM:221900,['HP:0003577']
OMIM:222300,"['HP:0011463', 'HP:0003621']"
OMIM:222448,['HP:0003577']
OMIM:222600,['HP:0003577']
OMIM:222700,['HP:0003593']
OMIM:222765,['HP:0003577']
OMIM:222800,['HP:0003581']
OMIM:222900,['HP:0003593']
OMIM:223000,['HP:0003623']
OMIM:223100,"['HP:0003621', 'HP:0011463', 'HP:0011462']"
OMIM:223360,['HP:0003577']
OMIM:223370,['HP:0003593']
OMIM:223800,['HP:0011463']
OMIM:223900,['HP:0003577']
OMIM:224050,"['HP:0003577', 'HP:0003593']"
OMIM:224100,"['HP:0003621', 'HP:0003596', 'HP:0003584', 'HP:0003593', 'HP:0011463', 'HP:0011462']"
OMIM:224120,['HP:0003577']
OMIM:224410,['HP:0003577']
OMIM:224500,['HP:0003621']
OMIM:224690,['HP:0003577']
OMIM:224900,['HP:0011463']
OMIM:225060,['HP:0003577']
OMIM:225280,['HP:0003577']
OMIM:225410,"['HP:0003577', 'HP:0003593']"
OMIM:225753,['HP:0003577']
OMIM:225790,['HP:0003577']
OMIM:226300,"['HP:0003593', 'HP:0011463', 'HP:0003621']"
OMIM:226600,"['HP:0003577', 'HP:0003593']"
OMIM:226650,['HP:0003577']
OMIM:226670,['HP:0003577']
OMIM:226700,['HP:0003577']
OMIM:226730,['HP:0003577']
OMIM:226980,['HP:0003593']
OMIM:226990,['HP:0003593']
OMIM:227500,['HP:0011463']
OMIM:227645,"['HP:0003577', 'HP:0011463']"
OMIM:227810,"['HP:0003593', 'HP:0003623']"
OMIM:228000,['HP:0011463']
OMIM:228300,['HP:0025708']
OMIM:228520,['HP:0003577']
OMIM:228550,['HP:0003593']
OMIM:228600,"['HP:0003593', 'HP:0011463']"
OMIM:229050,['HP:0003593']
OMIM:229070,['HP:0011462']
OMIM:229300,['HP:0003621']
OMIM:229700,['HP:0003623']
OMIM:230000,['HP:0003593']
OMIM:230350,['HP:0011463']
OMIM:230400,['HP:0003623']
OMIM:230500,['HP:0003593']
OMIM:230600,['HP:0011463']
OMIM:230650,['HP:0011463']
OMIM:230900,['HP:0003593']
OMIM:231000,"['HP:0003581', 'HP:0011463']"
OMIM:231070,['HP:0003577']
OMIM:231090,['HP:0011462']
OMIM:231100,['HP:0003577']
OMIM:231200,['HP:0003577']
OMIM:231300,['HP:0003593']
OMIM:231550,"['HP:0011463', 'HP:0011462', 'HP:0003621']"
OMIM:231670,"['HP:0003593', 'HP:0011463', 'HP:0003623', 'HP:0003621']"
OMIM:231950,['HP:0003593']
OMIM:232200,"['HP:0003593', 'HP:0011463']"
OMIM:232220,['HP:0003593']
OMIM:232240,['HP:0003623']
OMIM:232300,['HP:0011462']
OMIM:232500,['HP:0034197']
